Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
22,Franz Wagner,SF,6-10,225,2001-08-27,DE DE,3,Michigan
21,Moritz Wagner,C,6-11,245,1997-04-26,DE DE,6,Michigan
0,Anthony Black,PG,6-7,198,2004-01-20,US US,1,Arkansas
4,Jalen Suggs,PG,6-5,205,2001-06-03,US US,3,Gonzaga
3,Kentavious Caldwell-Pope,SG,6-5,204,1993-02-18,US US,11,Georgia
13,Jett Howard,SF,6-8,215,2003-09-14,US US,1,Michigan
1,Jonathan Isaac,PF,6-10,230,1997-10-03,US US,5,Florida State
50,Cole Anthony,PG,6-2,185,2000-05-15,US US,4,UNC
23,Tristan Da Silva,SF,6-8,217,2001-05-15,DE DE,R,Colorado
35,Goga Bitadze,C,6-11,250,1999-07-20,GE GE,5,
14,Gary Harris,SG,6-4,210,1994-09-14,US US,10,Michigan State
2,Caleb Houstan,SF,6-8,205,2003-01-09,CA CA,2,Michigan
10,Cory Joseph,PG,6-2,200,1991-08-20,CA CA,13,Texas
34,Wendell Carter Jr.,C,6-10,270,1999-04-16,US US,6,Duke
5,Paolo Banchero,PF,6-10,250,2002-11-12,US US,2,Duke
12,Trevelin Queen (TW),SG,6-6,190,1997-02-25,US US,3,"College of Marin, New Mexico Military Institute, New Mexico State"
8,Mac McClung (TW),SG,6-2,185,1999-01-06,US US,2,"Georgetown, Texas Tech"
