Rang,Joueur,Salaire
1,LaMelo Ball,$35 147 000
2,Miles Bridges,$27 173 913
3,Grant Williams,$13 025 250
4,Josh Green,$12 654 321
5,Brandon Miller,$11 424 600
6,Cody Martin,$8 120 000
7,Vasilije Micić,$7 723 000
8,Tidjane Salaün,$7 488 720
9,Dāvis Bertāns,$5 250 000
10,Nick Richards,$5 000 000
11,Tre Mann,$4 908 373
12,Mark Williams,$4 094 280
13,DaQuan Jeffries,$3 080 918
14,Devonte' Graham,$2 850 000
15,Nick Smith Jr.,$2 587 200
16,Charlie Brown Jr.,$2 237 692
17,Duane Washington Jr.,$2 162 607
18,Taj Gibson,$2 087 519
19,Seth Curry,$2 087 519
20,Reggie Jackson,$1 946 229
